net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
efficientnet_b0,layer7_features_2_0_block_1_0,single,1e-09,1e-09,0.000301056,2709504,1,1,1
efficientnet_b0,layer7_features_2_0_block_1_0,start,1e-09,1e-09,0.0,86704128,1,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,middle,0.0,1e-09,0.0,86704128,1,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,end,0.0,1e-09,0.009633792,86704128,1,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,single,1e-09,1e-09,0.009633792,86704128,1,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,start,1e-09,1e-09,0.0,2709504,2,1,1
efficientnet_b0,layer7_features_2_0_block_1_0,middle,0.0,1e-09,0.0,2709504,2,1,1
efficientnet_b0,layer7_features_2_0_block_1_0,end,0.0,1e-09,0.000301056,2709504,2,1,1
efficientnet_b0,layer7_features_2_0_block_1_0,single,1e-09,1e-09,0.000301056,2709504,2,1,1
efficientnet_b0,layer7_features_2_0_block_1_0,start,1e-09,1e-09,0.0,86704128,2,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,middle,0.0,1e-09,0.0,86704128,2,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,end,0.0,1e-09,0.009633792,86704128,2,32,1
efficientnet_b0,layer7_features_2_0_block_1_0,single,1e-09,1e-09,0.009633792,86704128,2,32,1
efficientnet_b0,layer81_features_8_0,start,1e-09,1e-09,0.0,20070400,1,1,1
efficientnet_b0,layer81_features_8_0,middle,0.0,1e-09,0.0,20070400,1,1,1
efficientnet_b0,layer81_features_8_0,end,0.0,1e-09,6.272e-05,20070400,1,1,1
efficientnet_b0,layer81_features_8_0,single,1e-09,1e-09,6.272e-05,20070400,1,1,1
efficientnet_b0,layer81_features_8_0,start,1e-09,1e-09,0.0,642252800,1,32,1
efficientnet_b0,layer81_features_8_0,middle,0.0,1e-09,0.0,642252800,1,32,1
efficientnet_b0,layer81_features_8_0,end,0.0,1e-09,0.00200704,642252800,1,32,1
efficientnet_b0,layer81_features_8_0,single,1e-09,1e-09,0.00200704,642252800,1,32,1
efficientnet_b0,layer81_features_8_0,start,1e-09,1e-09,0.0,10035200,2,1,1
efficientnet_b0,layer81_features_8_0,middle,0.0,1e-09,0.0,10035200,2,1,1
efficientnet_b0,layer81_features_8_0,end,0.0,1e-09,3.136e-05,10035200,2,1,1
efficientnet_b0,layer81_features_8_0,single,1e-09,1e-09,3.136e-05,10035200,2,1,1
efficientnet_b0,layer81_features_8_0,start,1e-09,1e-09,0.0,321126400,2,32,1
efficientnet_b0,layer81_features_8_0,middle,0.0,1e-09,0.0,321126400,2,32,1
efficientnet_b0,layer81_features_8_0,end,0.0,1e-09,0.00100352,321126400,2,32,1
