net,layer_name,batch_size,sequence_length,mapper_idx,fused_layer_type,tp_degree,arch_target,glb_scale,pe_x_scale,pe_y_scale,dram_i,dram_o,latency,static_power,dynamic_energy,area,utilization,i_access,w_access,o_access
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_sub_exp,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_sum,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_softmax_div,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00018637078982416676,0.090266593596651,0.0005677170535118871,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.000709776221796667,0.267843163138916,0.016275618890612138,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.000709776221796667,0.267843163138916,0.016275618890612138,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.000709776221796667,0.267843163138916,0.016275618890612138,,1.0,,,
vit_h14_s257,layer0_attn_v,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.000709776221796667,0.267843163138916,0.016275618890612138,,1.0,,,
vit_h14_s257,layer0_gate_proj,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.0008340357217966669,0.269649981831711,0.027728907080681955,,1.0,,,
vit_h14_s257,layer0_gate_proj,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.0008340357217966669,0.269649981831711,0.027728907080681955,,1.0,,,
vit_h14_s257,layer0_gate_proj,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.0008340357217966669,0.269649981831711,0.027728907080681955,,1.0,,,
vit_h14_s257,layer0_gate_proj,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.0008340357217966669,0.269649981831711,0.027728907080681955,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.000827996221796667,0.270675295165519,0.02922098125116728,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.000827996221796667,0.270675295165519,0.02922098125116728,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.000827996221796667,0.270675295165519,0.02922098125116728,,1.0,,,
vit_h14_s257,layer0_down_proj,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.000827996221796667,0.270675295165519,0.02922098125116728,,1.0,,,
vit_l16_s197,layer0_q_proj,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.0002149154588995485,0.270537430088915,0.007812817198692206,,1.0,,,
vit_l16_s197,layer0_q_proj,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.0002149154588995485,0.270537430088915,0.007812817198692206,,1.0,,,
